name,team,cmppct,tdpct,intpct,skpct,pacr,adjepacpoe,epaatt,anyatt,passrtg,year,mvp
Alex Smith,KC,67.84386617,5.204460967,0.92936803,6.759098787,1.045907214,0.138576894,0.181480364,7.670710572,105.4445477,2017,0
Aaron Rodgers,GB,64.70588235,6.722689076,2.521008403,8.461538462,1.019476567,0.112645511,0.098737421,5.988461538,97.23389356,2017,0
Ryan Fitzpatrick,TB,58.89570552,4.294478528,1.840490798,4.117647059,0.745774172,0.073320272,0.055007951,6.317647059,86.00460123,2017,0
Jay Cutler,MIA,62.004662,4.428904429,3.263403263,4.454342984,0.755240793,0.039424035,-0.055852286,5.037861915,80.81293706,2017,0
Drew Stanton,ARI,49.68553459,3.773584906,3.144654088,4.21686747,0.520372526,-0.003912013,-0.139855081,4.512048193,66.39150943,2017,0
Matt Moore,MIA,61.41732283,3.149606299,3.937007874,8.633093525,0.828681424,0.029759339,-0.168883967,4.467625899,75.60695538,2017,0
Matt Ryan,ATL,64.70588235,3.697478992,2.016806723,4.8,0.878252427,0.123490886,0.126152181,6.7712,91.60014006,2017,0
Joe Flacco,BAL,64.11657559,3.278688525,2.367941712,4.6875,0.85376461,0.029416539,-0.095760988,4.706597222,80.41514876,2017,0
Matthew Stafford,DET,65.66371681,5.132743363,1.769911504,7.679738562,0.97864847,0.088935925,0.067811034,7.008169935,99.32522124,2017,0
Brian Hoyer,NE,58.29383886,1.895734597,1.895734597,7.04845815,0.774834437,-0.005564859,-0.14195564,4.735682819,74.4964455,2017,0
Cam Newton,CAR,59.21052632,4.511278195,3.007518797,6.830122592,0.802946998,0.064258484,0.010604595,5.474605954,82.52662907,2017,0
Blaine Gabbert,ARI,55.55555556,3.50877193,3.50877193,11.8556701,0.690839695,-0.016380216,-0.321290515,4.056701031,71.91764133,2017,0
Andy Dalton,CIN,59.87903226,5.040322581,2.419354839,7.289719626,0.816929134,0.031921418,-0.062497467,5.654205607,86.59274194,2017,0
Tyrod Taylor,BUF,61.26914661,3.06345733,1.094091904,9.504950495,0.764001042,0.060444977,-0.017916928,5.38019802,85.53519329,2017,0
